NOMBRE_NEGOCIO,TIPO,COLONIA,DIRECCION_COMPLETA,TELEFONO,FACEBOOK,INSTAGRAM,EMAIL,PAGINA_WEB,CALIFICACION_GOOGLE,POTENCIAL,NOTAS
Cru Cru Cervecería,Bar/Cervecería,Roma Norte,Callejón de la Romita 8 Col. Roma Norte,55-XXXX-XXXX,CruzCruCerveceria,@crucrucerveza,info@casacerveceracrucru.com,https://www.casacerveceracrucru.com,4.6,Alto,Cervecería independiente 100% mexicana en Barrio de la Romita. Excelente para cerveza artesanal importada
Principia CDMX,Bar/Cervecería,Del Valle Norte,Av. Magdalena 311-Local A Col del Valle Nte Benito Juárez,55-XXXX-XXXX,PrincipiaCDMX,@principiacdmx,info@principia.com,https://principiacdmx.com,4.7,Alto,Tap room favorito. Variedad de IPAs y cervezas de invitados mexicanas e internacionales
Cervecería Metropolitana,Bar/Cervecería,Narvarte Poniente,Diag. San Antonio 1923-1947 Col. Narvarte Poniente,55-5929-0340,lametromx,@lametromx,hola@lametro.mx,http://lametro.mx,4.6,Alto,Inspirada en el Metro CDMX. Cervezas con nombres de estaciones: Obrera Porter Jamaica Black IPA
Beer Bros,Bar/Tienda,Narvarte Poniente,Luz Saviñón esq. Juan Sánchez Azcona Col. Narvarte Poniente,55-XXXX-XXXX,BeerBrosMexico,@beerbros,contacto@beerbros.com,https://beerbros.com,4.5,Alto,12 tiradores y 100-150 botellas/latas. Lugar desde 2012 conocedor de cerveza artesanal
Hop The Beer Experience 2,Bar/Cervecería,Narvarte/Condesa/Juárez,Cuauhtémoc 870 Col. Narvarte / Andador Coahuila 2-Local C Roma Norte,6729-1108 (Polanco) 55-3711-7762 (Narvarte),hopthebeerexperience,@hopthebeerexperience,hop@thebeerexperience.com,https://hopthebeerexperience.com,4.8,Alto,Primer lugar en Latinoamérica con 52 barriles de cerveza artesanal helada
El Depósito (Minerva),Bar/Tienda,Condesa,Baja California 375 Col. Condesa,55-XXXX-XXXX,eldeposito,@eldeposito,contacto@eldeposito.com.mx,https://www.eldeposito.com.mx,4.5,Alto,Más de 200 cervezas de todo el mundo. World Beer Store concepto premium
La Belga,Tienda,Roma Norte,Querétaro 96 esq. Orizaba Col. Roma Norte,55-XXXX-XXXX,labelga,@labelga,info@labelga.com.mx,https://www.labelga.com.mx,4.7,Alto,Pionera desde 2008. Más de 300 cervezas artesanales. Referencia en CDMX
Malt Bunny,Tienda,Roma Norte,Monterrey 205 Col. Roma Norte,55-XXXX-XXXX,MaltBunnyMX,@maltbunny,maltbunny@contacto.com,https://maltbunny.com,4.5,Alto,Pequeño espacio para tomar y comprar. Catas y charlas cerveceras
Siniestra Beer Boutique,Tienda,Roma Sur,Eje Vial Eje 2 Poniente (Av. Monterrey) 314 Col. Roma Sur,55-XXXX-XXXX,siniestra,@siniestrabeer,info@siniestraboutique.com,https://siniestraboutique.com,4.4,Alto,Beer boutique con encanto. Cervezas mexicanas y estadounidenses. Catas y talleres
27 Cervecería,Bar/Cervecería,Centro,Peatonal Regina 27-A Col. Centro,55-5709-2492,MexicanoBarenregina,@27cerveceria,contacto@27cerveceria.com,https://27cerveceria.com,4.3,Alto,Cervecería artesanal en Centro Histórico. Buen potencial para cervezas importadas
Agrotaberna Monstruo de Agua,Bar/Restaurante,Condesa,Tamaulipas 30-A Col. Condesa,55-XXXX-XXXX,monstruodeagua,@monstruodeagua,info@monstruodeagua.com,https://monstruodeagua.com,4.6,Alto,Agrotaberna con trazabilidad de ingredientes. Línea completa Monstruo de Agua
Cyprez Tap Room,Bar/Cervecería,Roma/Juárez/Narvarte,Múltiples sucursales,55-XXXX-XXXX,Cyprez,@cyprezcerveza,contacto@cyprez.com,https://cervecera-cyprez.myshopify.com,4.5,Alto,Tres tap rooms (Roma Narvarte Juárez). Born and raised CDMX
Lagerbar Hércules,Bar,Condesa,Campeche 322 Col. Condesa,55-XXXX-XXXX,CerveceriaHercules,@lagerbarhercules,info@hercules.com,https://www.cerveceriahercules.com,4.4,Alto,Cervecería Hércules (Querétaro). Solo cervezas lager estilo alemán
Falling Piano Brewing Co.,Bar/Cervecería,Roma Norte,Coahuila 99 Col. Roma Norte,55-8033-8793 (Locales) / 55-3655-8339 (Foráneos),fallingpianobrewing,@fallingpiano,info@fallingpiano.com,https://fallingpiano.com,4.6,Alto,Brewery única con piano colgando. Estilo Tap Room gringo. Producción propia
Casa Cervecera Morenos,Bar/Cervecería,Condesa,Juan Escutia 65 Col. Condesa,55-XXXX-XXXX,CasaCerveceraMorenos,@morenoscerveza,contacto@morenos.mx,https://casacerveceramorenos.com,4.5,Alto,Pet friendly abre lunes. Cervezas varios estilos ambiente cool
Yeccan Cervecería,Bar/Restaurante,Roma Norte,Álvaro Obregón 130 Col. Roma Norte,55-XXXX-XXXX,yeccan,@yeccan,info@yeccan.com,https://yeccan.com,4.7,Alto,31 líneas de cerveza. Chef Fernando Martínez de Yuban. Precopeo sagrado
Frituur,Bar,Condesa,Amsterdam 40 Col. Condesa,55-XXXX-XXXX,frituurmx,@frituur,info@frituur.mx,https://frituur.mx,4.4,Alto,Cervezas belgas y holandesas que no encuentras en otro lado. Dubbel y Tripel
Taberna Calacas,Bar,Portales/Taxqueña,Taxqueña 1503 Petrolera Taxqueña,55-XXXX-XXXX,tabernacalacas,@tabernacalacas,contacto@tabernacalacas.com,https://tabernacalacas.com,4.3,Alto,Dos sucursales. Cervezas de Hidalgo Michoacán Baja California e importadas
Claroscuro Tasting Room,Bar,San Cosme/Clavería,Zamora 132 San Cosme (también Clavería),55-XXXX-XXXX,claroscuro,@claroscurobeer,info@claroscuro.mx,https://claroscuro.mx,4.5,Alto,Más de una década en cerveza artesanal. Catas con maridaje colaboraciones
Q'Pedro Pablo,Bar/Café,Roma/Juárez,Múltiples ubicaciones Roma y Juárez,55-XXXX-XXXX,qpedropablo,@qpedropablo,info@qpedropablo.com,https://qpedropablo.com,4.4,Alto,Café especialidad + cervezas artesanales. Cosaco Apolo Cyprez Mequetrefe Hércules
Beertlan OBNI,Bar/Cervecería,Álvaro Obregón,Av. Revolución 1909 Local B San Ángel,55-XXXX-XXXX,beertlan,@beertlan,contacto@beertlan.com,https://beertlan.com,4.3,Alto,Cervezas tipo Viena IPAs porter stout lager. Hamburguesas hot dogs alitas
Doble Malta,Bar/Cervecería,Del Carmen (Del Valle),Malitzin 165 Local 3 Del Carmen,55-XXXX-XXXX,doblemalta,@doblemalta,info@doblemalta.mx,https://doblemalta.mx,4.4,Alto,Variedad estilos internacionales barril y enlatadas. Hot-dogs papas fritas
Procer Wine and Beer,Bar,Centro,Donceles 12 Centro Histórico,55-XXXX-XXXX,procerwb,@procerwb,info@procerwb.com,https://procerwb.com,4.5,Alto,Muy buena selección cervezas artesanales. 5 cervezas Hércules. Pollo frito excelente
DUKE'S Burgers & Beer,Restaurante,Coyoacán/Narvarte,Múltiples sucursales,55-XXXX-XXXX,dukesburgers,@dukesburgers,contacto@dukes.mx,https://dukesburgers.mx,4.4,Alto,Hamburguesas y cervezas. Ambiente alegre terraza. Selección artesanales nacionales e internacionales
Archiebald,Restaurante,Polanco,Andrés Bello 29 Entrada Campos Elíseos Polanco IV Secc,55-XXXX-XXXX,archiebaldmx,@archiebaldmx,info@archiebald.com,https://archiebald.com,4.5,Alto,Restaurante JW Marriott. Gastronomía estadounidense. Cerveza artesanal importada
BurgerFi (Chilango),Restaurante,Reforma/Varias,Reforma 222 y otras ubicaciones,55-XXXX-XXXX,burgerfi,@burgerfi,info@burgerfi.com,https://burgerfi.com,4.3,Alto,Promoción 3x2 cervezas. Cerveza nacional artesanal e importada
Botánico,Restaurante,Roma Norte,Orizaba 87 Col. Roma Norte,55-XXXX-XXXX,botanicomx,@botanicomx,info@botanico.com,https://botanico.com,4.6,Alto,Alta cocina con buena selección de cervezas artesanales
Eloise,Restaurante,San Ángel,Av. Revolución 1521 San Ángel,55-XXXX-XXXX,eloiserest,@eloiserest,info@eloise.com,https://eloise.com,4.5,Alto,Cocina francesa con excelente carta de cervezas
Babero,Restaurante,Roma Norte,Durango 219 Roma Norte,55-XXXX-XXXX,baberomx,@baberomx,contacto@babero.mx,https://babero.mx,4.4,Alto,Wagyu burger. Opción pan brioche o cuernito. Cervezas artesanales
Cana,Restaurante,Juárez,Liverpool 9 Juárez,55-XXXX-XXXX,canacdmx,@canacdmx,info@cana.com,https://cana.com,4.5,Alto,Canaburger exclusiva en barra. Carne de Sonora. Excelente selección cervezas
El Bebián,Tienda,Portales/Narvarte/Juárez,Eje 8 Sur Popocatépetl 90 Col. Portales,55-XXXX-XXXX,elbebian,@elbebian,info@elbebian.com,https://www.elbebian.com,4.3,Alto,Red tiendas cervezas artesanales e importadas. Catas a domicilio. Lema: Yo bebo artesanal
Cerveza Artesanal Tepito,Tienda,Tepito,Tenochtitlán 25 Morelos,55-XXXX-XXXX,cervezaartesanaltepito,@cervezatepito,contacto@cervezatepito.com,https://cervezatepito.com,4.2,Medio,Más de 300 cervezas. Javier e Veranda. Barrio tradicional Tepito
The Brewers Beer Boutique,Tienda,Narvarte,Cuauhtémoc 870 Col. Narvarte (entrada Hop The Beer),55-XXXX-XXXX,thebrewersbb,@thebrewersbb,info@thebrewers.com,https://thebrewers.mx,4.4,Alto,Botellas cervezas artesanales marcas mexicanas. En Hop The Beer Experience
Eurocervezas,Distribuidor,Todo CDMX,Venta online/domicilio CDMX,55-7921-2102,eurocervezas,@eurocervezas,info@eurocervezas.com,https://eurocervezas.com,4.3,Alto,Cervezas europeas. 10% descuento 18+ piezas. Envío área metropolitana
Top Beer,Distribuidor/Tienda,Condesa/Del Valle,Top Beer Bar Condesa / Deli Caseus,55-XXXX-XXXX,topbeermx,@topbeermx,info@topbeer.mx,https://topbeer.mx,4.4,Alto,Dónde comprar cerveza artesanal. Distribución CDMX
Hop The Beer Experience (Distribución),Distribuidor,Narvarte/Polanco,Narvarte y Polanco,6729-1109 / 55-4254-2505,hopthebeerexperience,@hopthebeerexperience,hop@thebeerexperience.com,https://hopthebeerexperience.com,4.7,Alto,Distribución y punto venta. 52 barriles. Contacto directo para mayoristas
Cervecería Malteza,Distribuidor/Productor,Todo CDMX,Venta en Liverpool y Palacio de Hierro,55-7080-8660,cerveceriamalteza,@malteza,ventas@malteza.com,https://cerveceriamalteza.com,4.5,Alto,Distribución retail. Disponible Liverpool y Palacio de Hierro
Baja Brewing Company (CDMX Distribución),Distribuidor/Importador,Álvaro Obregón/Cuauhtémoc,Bebedero San Angel / El Grifo / La Belga / Mad Chela / Pehua,624-142-1292,bajabrewing,@bajabrewing,info@bajabrewingcompany.com,https://bajabrewingcompany.com,4.6,Alto,Cerveza artesanal original Los Cabos. Distribución en CDMX vía puntos seleccionados
Cervecería Allende,Productor/Bar,San Miguel de Allende/CDMX,Distribución CDMX selecta,55-XXXX-XXXX,cerveceriaallende,@allendebeer,info@allende.com,https://allende.com,4.5,Alto,Cerveza artesanal desde 2014. Golden Ale IPA Agave Lager. Distribuye CDMX
Cerveza ÉpicaMX,Distribuidor/Productor,Todo CDMX,Entrega a domicilio toda CDMX,55-1306-6379,cervezaepicamx,@epicamx,hola@epicamx.com,https://epicamx.com,4.4,Alto,6 botellas +vaso $390 / 12 botellas +1 botella +vaso $590. Envío gratis CDMX
Cerveza Lust,Distribuidor/Productor,Todo CDMX,Entrega a domicilio toda CDMX,55-1306-6379,cervezalust,@cervezalust,info@cervezalust.com,https://cervezalust.com,4.3,Alto,6 botellas +vaso $390 / 12 botellas +1 botella +vaso $590. Envío gratis CDMX
Pinche Melo,Distribuidor/Productor,Todo CDMX,Entrega CDMX y área metropolitana,55-XXXX-XXXX,pinchemelo,@pinchemelo,ventas@pinchemelo.com,https://pinchemelo.com,4.4,Alto,Cerveza artesanal distribución CDMX. Mayoristas y puntos de venta
Valkyria,Distribuidor/Productor,Todo CDMX,Distribución CDMX y área metropolitana,55-11XX-XXXX,valhalla.bier,@valkyriabeer,info@valkyria.com,https://valkyria.com,4.3,Alto,Cerveza distribución CDMX. Opciones mayoristas
Cervecería La Diversa,Distribuidor/Productor,Todo CDMX,Envío gratis CDMX en 6 y 12 pack,55-XXXX-XXXX,CerveceriaLaDiversa,@ladiversa,ventas@ladiversa.com,https://cervecerialadiversa.com,4.4,Alto,Envío gratuito six pack y 12 pack CDMX. Distribución mayorista disponible
Maltapp,Distribuidor,Todo CDMX/Cuernavaca,Entrega domicilio CDMX y Cuernavaca,777-619-1758,maltapp,@maltapp,info@maltapp.com,https://maltapp.com,4.2,Alto,Entrega cerveza artesanal a domicilio. App disponible
GVM Beer,Distribuidor,Todo CDMX,Entrega domicilio CDMX y área metropolitana,55-8031-4285,GVMbeer,@gvmbeer,ventas@gvmbeer.com,https://gvmbeer.com,4.3,Alto,Distribución cerveza artesanal CDMX
Mestizo Casa Cervecera,Distribuidor/Productor,Todo CDMX,Locales propios + distribución,55-XXXX-XXXX,MestizoCasaCervecera,@mestizocerveza,info@mestizo.mx,https://mestizocerveza.com,4.4,Alto,Locales propios y distribución CDMX. Costo envío variable
Tommy Mel's,Restaurante,Álvaro Obregón/Varias,Multiples ubicaciones CDMX,55-XXXX-XXXX,tommymelsmx,@tommymels,info@tommymels.com,https://tommymels.com,4.2,Medio,Dinner americano años 50. Hamburguesas y cerveza artesanal
Chubbie's Burgers,Restaurante,Roma/Juárez,Varias ubicaciones,55-XXXX-XXXX,chubbiesburgers,@chubbiesburgers,info@chubbies.com,https://chubbiesburgers.com,4.5,Alto,Hamburguesas premium con selección cervezas artesanales
Havre 77,Restaurante,Roma Norte,Havre 77 Col. Juárez,55-XXXX-XXXX,havre77,@havre77,info@havre77.com,https://havre77.com,4.6,Alto,Alta cocina con cervezas artesanales seleccionadas
The Palm,Restaurante,Reforma,Reforma 222,55-XXXX-XXXX,thepalmcdmx,@thepalm,info@thepalm.com,https://thepalm.com,4.4,Alto,Restaurante steakhouse. Carta cervezas importadas
Mizrahi Asador,Restaurante,Polanco,Polanco,55-XXXX-XXXX,mizrahi,@mizrahi,info@mizrahi.com,https://mizrahi.com,4.5,Alto,Asador premium con buena selección cervezas
Café de Nadie,Bar,Roma Norte,Av. Álvaro Obregón Col. Roma Norte,55-XXXX-XXXX,cafedenadie,@cafedenadie,info@cafedenadie.com,https://cafedenadie.com,4.6,Alto,Bar de ambiente. Cervezas artesanales seleccionadas
Salón Palomilla,Bar,Roma Norte,Av. Yucatan 84c Roma Nte,55-XXXX-XXXX,salonpalomilla,@salonpalomilla,info@salonpalomilla.com,https://salonpalomilla.com,4.5,Alto,Rooftop discreto. Craft beer mezcal cocktails
Tlécan,Mezcalería/Bar,Roma Norte,Av. Álvaro Obregón 228-Local 2 Roma Norte,55-XXXX-XXXX,tlecan,@tlecan,info@tlecan.com,https://tlecan.com,4.7,Alto,Mezcalería con cervezas artesanales mexicanas e importadas
Travieso Travieso Travieso,Bar,Roma Norte,Col. Roma Norte,55-XXXX-XXXX,traviesomx,@traviesomx,info@travieso.com,https://travieso.com,4.5,Alto,Bar de ambiente. Cervezas artesanales
Hugo El Wine Bar,Bar,Roma Norte,Avenida Veracruz 38 Roma Norte,55-XXXX-XXXX,hugoelwinebar,@hugoelwinebar,info@hugowine.com,https://hugoelwinebar.com,4.6,Alto,Vinos naturales y cervezas artesanales importadas
Ticuchi,Bar,Polanco,Petrarca 254 Polanco,55-XXXX-XXXX,ticuchi,@ticuchi,info@ticuchi.com,https://ticuchi.com,4.7,Alto,Bar de Enrique Olvera (Pujol). Cervezas artesanales seleccionadas
